stream,trade_id,side,entry_time,exit_time,entry_bar_i,exit_bar_i,entry_px,exit_px,pnl,bars_held,kern_dist_sig,state_sig
LOR,27,SHORT,999,1035,999,1035,5180.4,5176.45,3.95,36,1.11388,3
LOR,28,LONG,1035,1037,1035,1037,5176.45,5175.025,-1.425,2,0.7257,2
LOR,29,SHORT,1037,1076,1037,1076,5175.025,5172.625,2.4,39,1.90065,1
LOR,30,LONG,1076,1089,1076,1089,5172.625,5170.3,-2.325,13,2.95301,1
LOR,31,SHORT,1089,1126,1089,1126,5170.3,5167.875,2.425,37,1.51366,2
LOR,32,LONG,1126,1131,1126,1131,5167.875,5162.05,-5.825,5,1.733,0
LOR,33,SHORT,1131,1145,1131,1145,5162.05,5168.55,-6.5,14,2.38915,1
LOR,34,LONG,1145,1179,1145,1179,5168.55,5169.25,0.7,34,3.83724,1
LOR,35,SHORT,1179,1249,1179,1249,5169.25,5156.65,12.6,70,1.65229,2
LOR,36,LONG,1249,1257,1249,1257,5156.65,5152.25,-4.4,8,1.30994,1
LOR,37,SHORT,1257,1274,1257,1274,5152.25,5153.225,-0.975,17,2.57618,1
LOR,38,LONG,1274,1352,1274,1352,5153.225,5158.45,5.225,78,1.51217,1
LOR,39,SHORT,1352,1381,1352,1381,5158.45,5158.525,-0.075,29,1.22674,2
LOR,40,LONG,1381,1395,1381,1395,5158.525,5157.4,-1.125,14,1.75394,3
LOR,41,SHORT,1395,1414,1395,1414,5157.4,5159.65,-2.25,19,1.12784,3
LOR,42,LONG,1414,1425,1414,1425,5159.65,5157.6,-2.05,11,1.33042,0
LOR,43,SHORT,1425,1439,1425,1439,5157.6,5158.425,-0.825,14,0.93687,3
LOR,44,LONG,1439,1443,1439,1443,5158.425,5155.175,-3.25,4,1.1321,3
LOR,45,SHORT,1443,1482,1443,1482,5155.175,5149.8,5.375,39,2.02485,1
LOR,46,LONG,1482,1511,1482,1511,5149.8,5147.925,-1.875,29,1.83292,1
LOR,47,SHORT,1511,1528,1511,1528,5147.925,5148.75,-0.825,17,2.45366,1
LOR,48,LONG,1528,1668,1528,1668,5148.75,5166.15,17.4,140,1.3602,3
LOR,49,SHORT,1668,1682,1668,1682,5166.15,5168.375,-2.225,14,1.02665,3
LOR,50,LONG,1682,1702,1682,1702,5168.375,5168.1,-0.275,20,1.0208,2
