time,open,high,low,close,line4,si_dir,si_close,kernel estimate,synthetic renko close,last_state_code,kern_reg,open long,open short,exit_renko,regime flip → long,regime flip → short,kernel regression estimate,distance above kernel,distance below kernel,buy,sell,stopbuy,stopsell,upper envelope: far,upper envelope: average,upper envelope: near,envelope midline,lower envelope: near,lower envelope: average,lower envelope: far,chars,chars.1,chars.2,chars.3,shapes,shapes.1,volume,dt,dt_utc,close_all,state_code,state_label,kern_est,open_long,open_short,renko_syn_close,lor_flip_long,lor_flip_short,lor_buy_sig,lor_sell_sig,v_buy_sig,v_sell_sig,r_down,rs_down,r_up,rs_up,bar_i,lor_event,lor_trade_id,lor_pos,v_event,v_trade_id,v_pos
2026-02-23T10:56:00+08:00,5195.40000,5195.90000,5195.40000,5195.77500,5193.89237,0,87.34500,5193.00015,5195.32500,3,1,1,0,0,0,0,5193.04261,,,,,,,5201.14537,5197.85362,5194.56188,5193.04261,5191.52335,5188.23160,5184.93986,0,0,0,0,,,7,2026-02-23 10:56:00+08:00,2026-02-23 02:56:00+00:00,0,3,SLOW,5193.04261,1,0,5195.32500,0,0,0,0,0,0,1,1,1,1,272,,,0,,,0
2026-02-23T10:56:15+08:00,5196.00000,5196.00000,5195.20000,5195.45000,5193.80069,0,87.34500,5193.33553,5195.32500,3,1,0,0,0,0,0,5193.36024,,,,,,,5201.44761,5198.16212,5194.87662,5193.36024,5191.84385,5188.55836,5185.27286,0,0,0,0,,,9,2026-02-23 10:56:15+08:00,2026-02-23 02:56:15+00:00,0,3,SLOW,5193.36024,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,273,,,0,,,0
2026-02-23T10:56:30+08:00,5195.60000,5195.60000,5195.00000,5195.15000,5193.70961,1,87.37500,5193.61336,5195.32500,3,1,0,0,0,0,0,5193.62037,,,,,,,5201.68909,5198.41117,5195.13325,5193.62037,5192.10748,5188.82957,5185.55165,0,0,0,0,,,3,2026-02-23 10:56:30+08:00,2026-02-23 02:56:30+00:00,0,3,SLOW,5193.62037,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,274,,,0,,,0
2026-02-23T10:56:45+08:00,5195.20000,5195.40000,5194.90000,5195.22500,5193.61928,0,87.37500,5193.86731,5195.32500,3,1,0,0,0,0,0,5193.87775,,,,,,,5201.92339,5198.65485,5195.38630,5193.87775,5192.36919,5189.10064,5185.83210,0,0,0,0,,,6,2026-02-23 10:56:45+08:00,2026-02-23 02:56:45+00:00,0,3,SLOW,5193.87775,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,275,,,0,,,0
2026-02-23T10:57:00+08:00,5194.80000,5195.20000,5194.80000,5195.10000,5193.53050,0,87.37500,5194.08142,5195.32500,3,1,0,0,0,0,0,5194.09819,,,,,,,5202.11510,5198.85823,5195.60136,5194.09819,5192.59501,5189.33814,5186.08127,0,0,0,0,,,5,2026-02-23 10:57:00+08:00,2026-02-23 02:57:00+00:00,0,3,SLOW,5194.09819,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,276,,,0,,,0
2026-02-23T10:57:15+08:00,5195.00000,5196.30000,5195.00000,5195.62500,5193.44422,1,87.41000,5194.31450,5195.32500,3,1,0,0,0,0,0,5194.32636,,,,,,,5202.32036,5199.07280,5195.82524,5194.32636,5192.82749,5189.57992,5186.33236,0,0,0,0,,,28,2026-02-23 10:57:15+08:00,2026-02-23 02:57:15+00:00,0,3,SLOW,5194.32636,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,277,,,0,,,0
2026-02-23T10:57:30+08:00,5195.60000,5195.60000,5195.50000,5195.52500,5193.36089,0,87.41000,5194.51160,5195.32500,3,1,0,0,0,0,0,5194.51871,,,,,,,5202.48100,5199.24632,5196.01164,5194.51871,5193.02578,5189.79110,5186.55642,0,0,0,0,,,2,2026-02-23 10:57:30+08:00,2026-02-23 02:57:30+00:00,0,3,SLOW,5194.51871,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,278,,,0,,,0
2026-02-23T10:57:45+08:00,5195.50000,5195.50000,5194.90000,5195.05000,5193.28002,0,87.41000,5194.64073,5195.32500,3,1,0,0,1,0,0,5194.63252,,,,,,,5202.56043,5199.33972,5196.11901,5194.63252,5193.14604,5189.92532,5186.70461,0,0,0,0,,,4,2026-02-23 10:57:45+08:00,2026-02-23 02:57:45+00:00,1,3,SLOW,5194.63252,0,0,5195.32500,0,0,0,0,0,0,1,1,1,1,279,,,0,,,0
2026-02-23T10:58:00+08:00,5194.60000,5194.70000,5193.90000,5194.10000,5193.20078,-1,87.40000,5194.66082,5194.32500,3,1,0,0,0,0,0,5194.63305,,,,,,,5202.52682,5199.31997,5196.11313,5194.63305,5193.15296,5189.94612,5186.73927,0,0,0,0,,,10,2026-02-23 10:58:00+08:00,2026-02-23 02:58:00+00:00,0,3,SLOW,5194.63305,0,0,5194.32500,0,0,0,0,0,0,1,1,1,1,280,,,0,,,0
2026-02-23T10:58:15+08:00,5193.60000,5194.40000,5193.40000,5194.15000,5193.12394,-1,87.38500,5194.66597,5194.32500,3,1,0,0,0,0,0,5194.66037,,,,,,,5202.52298,5199.32880,5196.13461,5194.66037,5193.18613,5189.99194,5186.79775,0,0,0,0,,,27,2026-02-23 10:58:15+08:00,2026-02-23 02:58:15+00:00,0,3,SLOW,5194.66037,0,0,5194.32500,0,0,0,0,0,0,1,1,1,1,281,,,0,,,0
