time,open,high,low,close,Line4,si_dir,si_close,Kernel Estimate,Synthetic Renko Close,last_state_code,kern_reg,OPEN LONG,OPEN SHORT,Exit_Renko,Regime Flip → LONG,Regime Flip → SHORT,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
1770941400,24853.25,24858.5,24837.5,24843.75,24842.74885733717,-1,75.57,24823.271825422606,24849.3125,0,-1,0,0,0,0,0,24824.233169372706,,,,,,,25098.34182429942,24986.98518323544,24875.628542171464,24824.233169372706,24772.83779657395,24661.481155509973,24550.124514445994,0,0,0,0,,,613
1770941700,24845.75,24847,24826,24832.5,24841.02898882896,-1,75.465,24824.752236634762,24835.5625,1,-1,0,0,0,0,0,24825.48360969372,,,,,,,25099.214175674613,24988.011133244876,24876.80809081514,24825.48360969372,24774.159128572304,24662.956086142567,24551.75304371283,0,0,0,0,,,631
1770942000,24832.25,24840.25,24789,24793.75,24839.324853621933,1,75.58,24823.372427266022,24804.3125,1,-1,0,0,0,0,0,24823.105491473703,,,,,,,25096.699040833486,24985.551661406076,24874.404281978663,24823.105491473703,24771.806700968744,24660.65932154133,24549.51194211392,0,0,0,0,,,2233
1770942300,24793.75,24797.25,24765.5,24781.5,24837.634546288973,-1,75.51,24819.828950505445,24781.8125,1,-1,0,0,0,0,0,24819.517791231883,,,,,,,25092.97138105644,24981.880860190213,24870.790339323987,24819.517791231883,24768.24524313978,24657.154722273553,24546.064201407327,0,0,0,0,,,1562
1770942600,24781.25,24796,24772.25,24778.75,24835.986959126636,-1,75.25,24816.245198560966,24781.8125,1,-1,0,0,0,0,0,24815.649922395405,,,,,,,25088.859356702116,24977.868024015013,24866.876691327914,24815.649922395405,24764.423153462896,24653.431820775797,24542.440488088694,0,0,0,0,,,1074
1770942900,24779.5,24787,24764,24780.25,24834.381186708713,1,75.325,24812.363773183777,24778.0625,3,-1,0,0,0,0,0,24811.95921931467,,,,,,,25084.81187644894,24973.965484488144,24863.119092527348,24811.95921931467,24760.799346101994,24649.952954141198,24539.1065621804,0,0,0,0,,,733
1770943200,24780.75,24787.75,24740.5,24742.75,24832.78210263887,-1,75.245,24806.32911592457,24754.3125,1,-1,0,0,0,0,0,24804.93401739089,,,,,,,25077.613337182767,24966.83736351732,24856.061389851868,24804.93401739089,24753.80664492991,24643.03067126446,24532.25469759901,0,0,0,0,,,1299
1770943500,24742.5,24755.25,24711.25,24730.75,24831.17224271162,-1,74.755,24798.496321499893,24733.0625,1,-1,0,0,0,0,0,24796.9941359261,,,,,,,25069.64265640143,24958.879194958325,24848.115733515224,24796.9941359261,24745.872538336975,24635.109076893874,24524.34561545077,0,0,0,0,,,2256
1770943800,24729,24741,24709.75,24716.25,24829.56403993608,-1,74.695,24789.914566384457,24721.8125,1,-1,0,0,0,0,0,24788.03409451013,,,,,,,25060.63568029424,24949.891286069447,24839.14689184465,24788.03409451013,24736.92129717561,24626.176902950814,24515.432508726022,0,0,0,0,,,1304
1770944100,24717.25,24742.75,24715,24731.25,24827.97763906831,1,74.85,24782.55410580259,24724.3125,0,-1,0,0,0,0,0,24780.843677695495,,,,,,,25053.337841698336,24942.637087572184,24831.93633344603,24780.843677695495,24729.75102194496,24619.050267818806,24508.349513692654,0,0,0,0,,,1056
1770944400,24731.25,24773.75,24730.25,24772,24826.44599270471,1,76.205,24778.56992772402,24761.8125,1,-1,0,0,0,0,0,24777.85406259776,,,,,,,25050.37107296494,24939.661037503272,24828.951002041606,24777.85406259776,24726.75712315391,24616.047087692245,24505.337052230578,0,0,0,0,,,1064
1770944700,24772,24816.5,24767.5,24807.75,24824.990044169583,1,76.46,24778.540954655924,24799.3125,1,-1,0,0,0,0,0,24778.644700709396,,,,,,,25051.378102134462,24940.58015780553,24829.782213476596,24778.644700709396,24727.507187942196,24616.709243613263,24505.91129928433,0,0,0,0,,,1784
1770945000,24807.5,24814,24799.5,24806.25,24823.59834762313,-1,76.265,24779.60875438552,24805.5625,1,-1,0,0,0,0,0,24779.787014621783,,,,,,,25052.50288478036,24941.712062528437,24830.921240276515,24779.787014621783,24728.65278896705,24617.86196671513,24507.071144463207,0,0,0,0,,,584
1770945300,24806,24820,24797.75,24814,24822.271017134804,1,76.505,24781.529542902357,24810.5625,1,-1,0,0,0,0,0,24782.026341174667,,,,,,,25054.58224314073,24943.856407967018,24833.130572793303,24782.026341174667,24730.92210955603,24620.196274382317,24509.470439208606,0,0,0,0,,,699
1770945600,24813.25,24817.5,24777.25,24779.25,24820.97499224174,-1,76.43,24781.63497217132,24808.0625,0,-1,0,0,0,0,0,24781.352102205306,,,,,,,25053.825317311075,24943.133073674355,24832.440830037638,24781.352102205306,24730.263374372975,24619.571130736258,24508.878887099538,0,0,0,0,,,1897
1770945900,24780.5,24806,24770.5,24796.75,24819.70473320924,1,76.475,24782.332957325503,24793.0625,1,-1,0,0,0,0,0,24782.488470689066,,,,,,,25054.9040484128,24944.235219962535,24833.566391512268,24782.488470689066,24731.410549865865,24620.741721415598,24510.07289296533,0,0,0,0,,,1084
1770946200,24796.75,24806.75,24780.75,24800.5,24818.46040176871,1,76.66,24783.603717101796,24795.5625,0,-1,0,0,0,0,0,24784.106664886298,,,,,,,25056.371515150502,24945.76391973067,24835.156324310836,24784.106664886298,24733.05700546176,24622.449410041925,24511.841814622094,0,0,0,0,,,1008
1770946500,24799.25,24810.25,24786.5,24806.25,24817.23643813678,-1,76.51,24785.44042122731,24801.8125,1,-1,0,0,0,0,0,24786.32046589374,,,,,,,25058.318037233334,24947.819023876626,24837.320010519914,24786.32046589374,24735.320921267565,24624.821907910853,24514.322894554145,0,0,0,0,,,496
1770946800,24806.5,24812.25,24790.75,24795.5,24816.032722339172,1,76.855,24786.932569411932,24799.3125,0,-1,0,0,0,0,0,24787.534023592376,,,,,,,25059.125030956333,24948.791184214726,24838.45733747312,24787.534023592376,24736.610709711633,24626.276862970026,24515.94301622842,0,0,0,0,,,554
1770947100,24794.75,24813.75,24789.75,24808.75,24814.866562681673,1,76.865,24789.038404245246,24801.8125,0,-1,0,0,0,0,0,24789.94608879924,,,,,,,25061.01895766936,24950.89560469087,24840.772251712388,24789.94608879924,24739.11992588609,24628.996572907607,24518.87321992912,0,0,0,0,,,559
1770947400,24809.75,24821.25,24788.5,24791.25,24813.73399601477,-1,76.565,24790.441623123494,24799.3125,0,-1,0,0,0,0,0,24790.709742424122,,,,,,,25061.27050613127,24951.355195875243,24841.439885619213,24790.709742424122,24739.97959922903,24630.064288973,24520.148978716974,0,0,0,0,,,798
1770947700,24791,24791.75,24765,24786.25,24812.608368743855,-1,76.46,24790.270193005,24783.0625,1,-1,0,0,0,0,0,24790.837801592814,,,,,,,25060.830390472187,24951.145901239943,24841.461412007695,24790.837801592814,24740.214191177933,24630.529701945685,24520.84521271344,0,0,0,0,,,1103
1770948000,24788.25,24822.25,24788.25,24813,24811.534198200505,1,76.485,24792.383857797737,24785.5625,0,-1,0,0,0,0,0,24793.250232445083,,,,,,,25062.716015989627,24953.245541424658,24843.775066859685,24793.250232445083,24742.72539803048,24633.25492346551,24523.78444890054,0,0,0,0,,,985
1770948300,24811,24820.5,24800.5,24818.5,24810.517491940132,-1,76.44,24794.835405164366,24814.3125,1,-1,0,0,0,0,0,24796.010544291472,,,,,,,25064.82741584777,24955.62056177802,24846.413707708278,24796.010544291472,24745.607380874666,24636.400526804922,24527.193672735175,0,0,0,0,,,668
1770948600,24818.5,24825.5,24813.5,24819.5,24809.550738635,1,76.47,24797.60166003034,24819.3125,1,-1,0,0,0,0,0,24798.718962930394,,,,,,,25066.67560216611,24957.8182174766,24848.960832787092,24798.718962930394,24748.477093073696,24639.619708384187,24530.76232369468,0,0,0,0,,,348
1770948900,24820,24820.5,24798,24803.25,24808.609595428832,1,76.495,24798.981120997014,24816.8125,0,-1,0,0,0,0,0,24799.740013469494,,,,,,,25066.755477834573,24958.28044543626,24849.805413037946,24799.740013469494,24749.674613901043,24641.19958150273,24532.724549104416,0,0,0,0,,,693
1770949200,24803,24818,24794,24807.5,24807.687228110015,1,76.565,24800.231828889235,24806.8125,1,-1,0,0,0,0,0,24800.987329594413,,,,,,,25067.016120688397,24958.941924306466,24850.867727924535,24800.987329594413,24751.10693126429,24643.03273488236,24534.95853850043,0,0,0,0,,,457
1770949500,24808,24814.5,24795.5,24813,24806.80354466924,1,76.795,24801.539358148006,24806.8125,1,-1,0,0,0,0,0,24802.58735240418,,,,,,,25067.532374252092,24959.89845912638,24852.264544000664,24802.58735240418,24752.9101608077,24645.276245681984,24537.64233055627,0,0,0,0,,,245
1770949800,24813.75,24832.25,24813.75,24824.75,24805.969938765375,-1,76.5,24804.063807833885,24809.3125,3,-1,0,0,0,0,0,24805.115774930626,,,,,,,25068.883759534416,24961.728015789125,24854.572272043835,24805.115774930626,24755.659277817416,24648.503534072126,24541.347790326836,0,0,0,0,,,633
1770950100,24824,24827,24819.25,24823.25,24805.2096413348,-1,76.43,24806.403097608298,24823.0625,1,-1,0,0,0,0,0,24807.390751248164,,,,,,,25069.76311173426,24963.174340286783,24856.585568839306,24807.390751248164,24758.19593365702,24651.607162209544,24545.018390762067,0,0,0,0,,,176
1770950400,24823.5,24824,24804,24806.5,24804.54918436886,-1,76.41,24807.412843652597,24820.5625,0,-1,0,0,0,0,0,24807.97013763101,,,,,,,25068.895302966663,24962.894454549052,24856.893606131445,24807.97013763101,24759.046669130577,24653.04582071297,24547.04497229536,0,0,0,0,,,576
1770950700,24806.25,24810.5,24794,24804.75,24803.97770281268,-1,76.3,24807.627547450305,24804.3125,1,-1,0,0,0,0,0,24808.216299872485,,,,,,,25067.613544080476,24962.23341362098,24856.853283161483,24808.216299872485,24759.579316583488,24654.19918612399,24548.819055664495,0,0,0,0,,,541
1770951000,24805,24809,24799,24803.25,24803.46746105504,1,76.625,24807.700800697483,24804.3125,1,-1,0,0,0,0,0,24808.17165786411,,,,,,,25065.89338821532,24961.19393526014,24856.494482304963,24808.17165786411,24759.848833423257,24655.14938046808,24550.4499275129,0,0,0,0,,,240
1770951300,24803,24809.25,24800.75,24802.75,24802.995574655157,1,76.895,24807.697006401373,24804.3125,1,-1,0,0,0,0,0,24808.00483628834,,,,,,,25063.89485289348,24959.939533647645,24855.984214401804,24808.00483628834,24760.025458174874,24656.070138929033,24552.114819683196,0,0,0,0,,,179
1770951600,24803.75,24820.75,24802.25,24815.5,24802.564702143183,-1,76.855,24808.488634663096,24806.8125,3,-1,0,0,0,0,0,24808.91192341277,,,,,,,25062.951773195557,24959.748084221297,24856.54439524704,24808.91192341277,24761.279451578495,24658.07576260424,24554.87207362998,0,0,0,0,,,281
1770951900,24815,24815,24797.25,24801,24802.13929593567,-1,76.6,24808.294651461427,24804.3125,0,-1,0,0,0,0,0,24808.42960793424,,,,,,,25060.606753516917,24958.159788123954,24855.71282273099,24808.42960793424,24761.146393137486,24658.699427744523,24556.25246235156,0,0,0,0,,,253
