time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
1770948600,24818.5,24825.5,24813.5,24819.5,24798.71896,,,,,,,25066.6756,24957.81822,24848.96083,24798.71896,24748.47709,24639.61971,24530.76232,0,0,0,0,,,348
1770948900,24820,24820.5,24798,24803.25,24799.74001,,,,,,,25066.75548,24958.28045,24849.80541,24799.74001,24749.67461,24641.19958,24532.72455,0,0,0,0,,,693
1770949200,24803,24818,24794,24807.5,24800.98733,,,,,,,25067.01612,24958.94192,24850.86773,24800.98733,24751.10693,24643.03273,24534.95854,0,0,0,0,,,457
1770949500,24808,24814.5,24795.5,24813,24802.58735,,,,,,,25067.53237,24959.89846,24852.26454,24802.58735,24752.91016,24645.27625,24537.64233,0,0,0,0,,,245
1770949800,24813.75,24832.25,24813.75,24824.75,24805.11577,,,,,,,25068.88376,24961.72802,24854.57227,24805.11577,24755.65928,24648.50353,24541.34779,0,0,0,0,,,633
1770950100,24824,24827,24819.25,24823.25,24807.39075,,,,,,,25069.76311,24963.17434,24856.58557,24807.39075,24758.19593,24651.60716,24545.01839,0,0,0,0,,,176
1770950400,24823.5,24824,24804,24806.5,24807.97014,,,,,,,25068.8953,24962.89445,24856.89361,24807.97014,24759.04667,24653.04582,24547.04497,0,0,0,0,,,576
1770950700,24806.25,24810.5,24794,24804.75,24808.2163,,,,,,,25067.61354,24962.23341,24856.85328,24808.2163,24759.57932,24654.19919,24548.81906,0,0,0,0,,,541
1770951000,24805,24809,24799,24803.25,24808.17166,,,,,,,25065.89339,24961.19394,24856.49448,24808.17166,24759.84883,24655.14938,24550.44993,0,0,0,0,,,240
1770951300,24803,24809.25,24800.75,24802.75,24808.00484,,,,,,,25063.89485,24959.93953,24855.98421,24808.00484,24760.02546,24656.07014,24552.11482,0,0,0,0,,,179
1770951600,24803.75,24820.75,24802.25,24815.5,24808.91192,,,,,,,25062.95177,24959.74808,24856.5444,24808.91192,24761.27945,24658.07576,24554.87207,0,0,0,0,,,281
1770951900,24815,24815,24797.25,24801,24808.42961,,,,,,,25060.60675,24958.15979,24855.71282,24808.42961,24761.14639,24658.69943,24556.25246,0,0,0,0,,,253
1770952200,24802.25,24810.25,24799.75,24803,24808.04264,,,,,,,25058.26798,24956.61393,24854.95989,24808.04264,24761.12538,24659.47134,24557.81729,0,0,0,0,,,145
1770952500,24803.5,24808.75,24793.5,24794.25,24806.77035,,,,,,,25055.02142,24954.16942,24853.31742,24806.77035,24760.22327,24659.37127,24558.51927,0,0,0,0,,,240
1770952800,24793.5,24795.5,24769.5,24771.25,24803.35803,,,,,,,25049.75254,24949.65477,24849.557,24803.35803,24757.15905,24657.06128,24556.96351,0,0,0,0,,,708
1770953100,24770.5,24780,24770,24776.25,24800.45776,,,,,,,25044.93066,24945.61354,24846.29643,24800.45776,24754.61909,24655.30198,24555.98486,0,0,0,0,,,377
1770953400,24775.5,24796.5,24774.25,24787.25,24798.65376,,,,,,,25041.29375,24942.72125,24844.14876,24798.65376,24753.15876,24654.58627,24556.01377,0,0,0,0,,,403
1770953700,24788.25,24791.5,24781.5,24789,24797.18846,,,,,,,25037.93521,24940.13184,24842.32847,24797.18846,24752.04844,24654.24507,24556.4417,0,0,0,0,,,219
1770954000,24790,24790.25,24776.5,24782.75,24795.27277,,,,,,,25034.11739,24937.08677,24840.05614,24795.27277,24750.48941,24653.45878,24556.42815,0,0,0,0,,,207
1770954300,24783.25,24787.25,24768,24769,24792.25706,,,,,,,25029.26295,24932.97931,24836.69566,24792.25706,24747.81845,24651.53481,24555.25117,0,0,0,0,,,312
1770954600,24769.75,24775.75,24751.25,24754,24788.04443,,,,,,,25023.34066,24927.75157,24832.16247,24788.04443,24743.92639,24648.33729,24552.7482,0,0,0,0,,,486
1770954900,24753.75,24760,24745.25,24750.25,24783.71462,,,,,,,25017.31073,24922.41231,24827.51389,24783.71462,24739.91535,24645.01693,24550.11851,0,0,0,0,,,418
1770955200,24750.5,24756,24744.5,24752.5,24779.81983,,,,,,,25011.68488,24917.4897,24823.29453,24779.81983,24736.34513,24642.14996,24547.95478,0,0,0,0,,,277
1770955500,24752.25,24762.5,24749.5,24755.75,24776.52402,,,,,,,25006.64442,24913.15801,24819.67159,24776.52402,24733.37644,24639.89003,24546.40361,0,0,0,0,,,284
1770955800,24756.5,24768.75,24753.25,24768.75,24774.71349,,,,,,,25003.10823,24910.32286,24817.5375,24774.71349,24731.88948,24639.10411,24546.31875,0,0,0,0,,,284
1770956100,24769,24802.5,24768.75,24786,24774.73337,,,,,,,25001.64271,24909.46079,24817.27887,24774.73337,24732.18787,24640.00595,24547.82403,0,0,0,0,,,659
1770956400,24786.25,24790.75,24776.5,24782.25,24774.67155,,,,,,,25000.09651,24908.51762,24816.93873,24774.67155,24732.40437,24640.82548,24549.24659,0,0,0,0,,,289
1770956700,24782.5,24788.75,24780.25,24784,24774.9891,,,,,,,24998.85957,24907.91219,24816.96481,24774.9891,24733.01338,24642.06601,24551.11863,0,0,0,0,,,183
1770957000,24783.5,24787.75,24768.75,24769.5,24774.17767,,,,,,,24996.5489,24906.21059,24815.87227,24774.17767,24732.48306,24642.14475,24551.80644,0,0,0,0,,,203
1770957300,24769,24774.25,24759.75,24763,24772.89858,,,,,,,24993.76938,24904.04061,24814.31185,24772.89858,24731.4853,24641.75654,24552.02778,0,0,0,0,,,281
1770957600,24764,24775.25,24758.25,24760.5,24771.49647,,,,,,,24990.8965,24901.76524,24812.63397,24771.49647,24730.35896,24641.2277,24552.09643,0,0,0,0,,,335
1770957900,24760,24768,24754,24760.25,24770.15996,,,,,,,24988.08173,24899.55101,24811.02029,24770.15996,24729.29962,24640.7689,24552.23818,0,0,0,0,,,230
1770958200,24760.25,24767.75,24753,24757,24768.6295,,,,,,,24985.07664,24897.14499,24809.21334,24768.6295,24728.04567,24640.11402,24552.18237,0,0,0,0,,,284
1770958500,24758,24767.25,24756.75,24757.25,24767.24139,,,,,,,24982.16399,24894.85169,24807.53938,24767.24139,24726.9434,24639.6311,24552.31879,0,0,0,0,,,315
1770958800,24757.75,24771,24747.75,24766.5,24766.79569,,,,,,,24980.30184,24893.56497,24806.8281,24766.79569,24726.76329,24640.02642,24553.28955,0,0,0,0,,,328
1770959100,24766.5,24768.5,24753,24764,24766.2175,,,,,,,24978.32164,24892.15433,24805.98703,24766.2175,24726.44798,24640.28067,24554.11337,0,0,0,0,,,308
1770959400,24764.75,24765.25,24749.75,24750.5,24764.49432,,,,,,,24975.21129,24889.60752,24804.00375,24764.49432,24724.98488,24639.38111,24553.77734,0,0,0,0,,,300
1770959700,24750.25,24753.5,24733.5,24738,24761.70373,,,,,,,24971.10163,24886.03374,24800.96584,24761.70373,24722.44162,24637.37373,24552.30583,0,0,0,0,,,686
1770960000,24739.25,24742,24719,24721.75,24757.56121,,,,,,,24965.74402,24881.16975,24796.59548,24757.56121,24718.52693,24633.95266,24549.37839,0,0,0,0,,,579
1770960300,24720,24726.5,24704.75,24707,24752.21665,,,,,,,24959.27185,24875.15567,24791.0395,24752.21665,24713.3938,24629.27762,24545.16144,0,0,0,0,,,958
1770960600,24707.5,24722.25,24698,24716,24747.90533,,,,,,,24953.94629,24870.24215,24786.53801,24747.90533,24709.27265,24625.56851,24541.86437,0,0,0,0,,,699
1770960900,24713.75,24729.75,24698,24699,24742.32453,,,,,,,24947.54887,24864.17648,24780.80409,24742.32453,24703.84496,24620.47257,24537.10018,0,0,0,0,,,739
1770961200,24700,24723.25,24690.75,24712.5,24738.2636,,,,,,,24942.87258,24859.75018,24776.62779,24738.2636,24699.89942,24616.77703,24533.65463,0,0,0,0,,,874
1770961500,24712,24736.75,24710,24725.25,24735.68973,,,,,,,24939.80133,24856.88099,24773.96066,24735.68973,24697.41881,24614.49847,24531.57814,0,0,0,0,,,690
1770961800,24723.5,24724.5,24697.75,24697.75,24730.95732,,,,,,,24934.6805,24851.91796,24769.15542,24730.95732,24692.75922,24609.99668,24527.23414,0,0,0,0,,,408
1770962100,24699.75,24724,24698,24712.5,24727.93689,,,,,,,24931.35881,24848.71866,24766.0785,24727.93689,24689.79529,24607.15513,24524.51498,0,0,0,0,,,397
1770962400,24711.75,24727.75,24704.75,24707.5,24724.84143,,,,,,,24928.00019,24845.46694,24762.9337,24724.84143,24686.74916,24604.21592,24521.68267,0,0,0,0,,,445
1770962700,24708.75,24729.25,24708.5,24724.75,24723.6875,,,,,,,24926.58287,24844.15663,24761.73038,24723.6875,24685.64462,24603.21838,24520.79214,0,0,0,0,,,327
1770963000,24725.25,24731,24713,24718.75,24722.31154,,,,,,,24924.90347,24842.6005,24760.29753,24722.31154,24684.32555,24602.02258,24519.71961,0,0,0,0,,,484
1770963300,24720.75,24731,24706.75,24729.25,24722.17113,,,,,,,24924.49028,24842.29813,24760.10597,24722.17113,24684.23629,24602.04413,24519.85198,0,0,0,0,,,675
1770963600,24729,24730,24698.25,24702,24719.77932,,,,,,,24921.94188,24839.81334,24757.6848,24719.77932,24681.87385,24599.74531,24517.61677,0,0,0,0,,,637
1770963900,24702.75,24704.5,24677.5,24686.5,24716.16342,,,,,,,24918.22092,24836.13506,24754.0492,24716.16342,24678.27764,24596.19178,24514.10592,0,0,0,0,,,1042
1770964200,24686.75,24688.5,24660,24676.75,24711.84466,,,,,,,24913.8585,24831.79038,24749.72225,24711.84466,24673.96706,24591.89894,24509.83081,0,0,0,0,,,1120
1770964500,24678,24679,24642.25,24657,24705.95879,,,,,,,24908.08918,24825.97371,24743.85824,24705.95879,24668.05934,24585.94387,24503.8284,0,0,0,0,,,1093
1770964800,24657,24668.25,24653,24664.25,24700.99617,,,,,,,24903.13486,24821.01602,24738.89718,24700.99617,24663.09517,24580.97633,24498.85748,0,0,0,0,,,704
1770965100,24665.5,24685,24656.5,24683,24698.06829,,,,,,,24900.26313,24818.12147,24735.97982,24698.06829,24660.15675,24578.0151,24495.87344,0,0,0,0,,,720
1770965400,24683.75,24709.5,24683.75,24708,24697.74883,,,,,,,24900.01087,24817.84192,24735.67297,24697.74883,24659.8247,24577.65575,24495.4868,0,0,0,0,,,559
1770965700,24708.25,24724.5,24705.75,24714.25,24698.30148,,,,,,,24900.55279,24818.3882,24736.2236,24698.30148,24660.37936,24578.21476,24496.05016,0,0,0,0,,,701
1770966000,24713.5,24744.25,24713.5,24719.5,24699.58303,,,,,,,24901.89143,24819.70364,24737.51586,24699.58303,24661.65021,24579.46242,24497.27464,0,0,0,0,,,1397
1770966300,24719.5,24740,24711.25,24736,24702.56233,,,,,,,24904.96859,24822.74105,24740.5135,24702.56233,24664.61116,24582.38361,24500.15607,0,0,0,0,,,704
1770966600,24737.25,24744.75,24729.25,24736,24705.65318,,,,,,,24908.03528,24825.81755,24743.59982,24705.65318,24667.70654,24585.48881,24503.27109,0,0,0,0,,,621
1770966900,24736,24758,24734.75,24751.5,24710.17329,,,,,,,24912.50245,24830.30623,24748.11001,24710.17329,24672.23658,24590.04036,24507.84414,0,0,0,0,,,843
1770967200,24751.5,24759,24743.25,24757.25,24715.16288,,,,,,,24917.32199,24835.19485,24753.06772,24715.16288,24677.25805,24595.13091,24513.00378,0,0,0,0,,,452
1770967500,24759,24762.25,24738.25,24738.5,24718.30905,,,,,,,24920.28531,24838.23245,24756.1796,24718.30905,24680.43851,24598.38565,24516.3328,0,0,0,0,,,490
1770967800,24739,24747,24728,24743.5,24721.70479,,,,,,,24923.42718,24841.47746,24759.52774,24721.70479,24683.88184,24601.93212,24519.98239,0,0,0,0,,,514
1770968100,24742.25,24744.75,24719.5,24725.75,24723.23644,,,,,,,24924.71446,24842.86402,24761.01357,24723.23644,24685.45931,24603.60887,24521.75842,0,0,0,0,,,761
1770968400,24724.5,24733.5,24721,24726.75,24724.59253,,,,,,,24925.68481,24843.99107,24762.29734,24724.59253,24686.88773,24605.194,24523.50026,0,0,0,0,,,412
1770968700,24727.75,24734.5,24723,24727,24725.68338,,,,,,,24926.24295,24844.76563,24763.2883,24725.68338,24688.07846,24606.60113,24525.1238,0,0,0,0,,,308
1770969000,24728,24740.5,24715,24739,24727.6376,,,,,,,24927.69538,24846.42191,24765.14843,24727.6376,24690.12676,24608.85329,24527.57981,0,0,0,0,,,507
1770969300,24738.25,24750.5,24729.25,24747,24730.06881,,,,,,,24929.61033,24848.54659,24767.48285,24730.06881,24692.65478,24611.59104,24530.5273,0,0,0,0,,,630
1770969600,24746.75,24757,24723.25,24755.5,24733.0391,,,,,,,24932.20898,24851.29622,24770.38345,24733.0391,24695.69474,24614.78198,24533.86921,0,0,0,0,,,1266
1770969900,24757.75,24776,24750,24766.5,24736.83148,,,,,,,24935.68162,24854.89875,24774.11588,24736.83148,24699.54708,24618.76422,24537.98135,0,0,0,0,,,1458
1770970200,24767,24769.5,24729,24732.25,24737.24976,,,,,,,24936.0091,24855.26312,24774.51714,24737.24976,24699.98239,24619.23641,24538.49043,0,0,0,0,,,1098
