time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Volume
2026-01-19T20:50:00+08:00,4674.6,4675.8,4672.8,4675.3,4673.226393,,,,,,,4703.878708,4691.426205,4678.973702,4673.226393,4667.479084,4655.026581,4642.574079,0,0,0,0,,,881
2026-01-19T20:55:00+08:00,4675.3,4678,4674.6,4677,4673.736395,,,,,,,4704.304336,4691.88611,4679.467884,4673.736395,4668.004906,4655.58668,4643.168454,0,0,0,0,,,919
2026-01-19T21:00:00+08:00,4677,4678.9,4673.5,4675.6,4674.066431,,,,,,,4704.576192,4692.181602,4679.787011,4674.066431,4668.345851,4655.95126,4643.55667,0,0,0,0,,,1221
2026-01-19T21:05:00+08:00,4675.5,4677.9,4674,4675.7,4674.359224,,,,,,,4704.81906,4692.444752,4680.070443,4674.359224,4668.648004,4656.273696,4643.899387,0,0,0,0,,,687
2026-01-19T21:10:00+08:00,4675.7,4676.9,4673.7,4675.1,4674.558552,,,,,,,4704.967766,4692.614023,4680.26028,4674.558552,4668.856824,4656.503081,4644.149338,0,0,0,0,,,1113
2026-01-19T21:15:00+08:00,4675.1,4676.6,4674.7,4675.4,4674.74588,,,,,,,4705.087986,4692.761506,4680.435025,4674.74588,4669.056735,4656.730254,4644.403774,0,0,0,0,,,360
2026-01-19T21:20:00+08:00,4675.4,4676.9,4673.4,4675.5,4674.907485,,,,,,,4705.185681,4692.885164,4680.584647,4674.907485,4669.230323,4656.929806,4644.629289,0,0,0,0,,,647
2026-01-19T21:25:00+08:00,4675.7,4677,4674,4676.7,4675.148918,,,,,,,4705.360364,4693.086964,4680.813564,4675.148918,4669.484272,4657.210873,4644.937473,0,0,0,0,,,576
2026-01-19T21:30:00+08:00,4676.8,4678.9,4675.2,4676.2,4675.320852,,,,,,,4705.471189,4693.222615,4680.97404,4675.320852,4669.667664,4657.419089,4645.170515,0,0,0,0,,,921
2026-01-19T21:35:00+08:00,4676.1,4676.7,4673,4675.1,4675.366874,,,,,,,4705.461991,4693.235849,4681.009708,4675.366874,4669.724039,4657.497898,4645.271757,0,0,0,0,,,864
